model_name,condition,blocked_reaction_id
iJO1366,glycerol_aerobic,DM_aacald_c
iJO1366,glycerol_aerobic,EX_14glucan_e
iJO1366,glycerol_aerobic,EX_23camp_e
iJO1366,glycerol_aerobic,EX_23ccmp_e
iJO1366,glycerol_aerobic,EX_23cgmp_e
iJO1366,glycerol_aerobic,EX_23cump_e
iJO1366,glycerol_aerobic,EX_23dappa_e
iJO1366,glycerol_aerobic,EX_26dap__M_e
iJO1366,glycerol_aerobic,EX_2ddglcn_e
iJO1366,glycerol_aerobic,EX_34dhpac_e
iJO1366,glycerol_aerobic,EX_3amp_e
iJO1366,glycerol_aerobic,EX_3cmp_e
iJO1366,glycerol_aerobic,EX_3gmp_e
iJO1366,glycerol_aerobic,EX_3hcinnm_e
iJO1366,glycerol_aerobic,EX_3hpppn_e
iJO1366,glycerol_aerobic,EX_3ump_e
iJO1366,glycerol_aerobic,EX_4hoxpacd_e
iJO1366,glycerol_aerobic,EX_5dglcn_e
iJO1366,glycerol_aerobic,EX_LalaDglu_e
iJO1366,glycerol_aerobic,EX_LalaLglu_e
iJO1366,glycerol_aerobic,EX_acac_e
iJO1366,glycerol_aerobic,EX_acgal_e
iJO1366,glycerol_aerobic,EX_acgal1p_e
iJO1366,glycerol_aerobic,EX_acgam_e
iJO1366,glycerol_aerobic,EX_acgam1p_e
iJO1366,glycerol_aerobic,EX_acmana_e
iJO1366,glycerol_aerobic,EX_acmum_e
iJO1366,glycerol_aerobic,EX_acnam_e
iJO1366,glycerol_aerobic,EX_adocbl_e
iJO1366,glycerol_aerobic,EX_ag_e
iJO1366,glycerol_aerobic,EX_ala_B_e
iJO1366,glycerol_aerobic,EX_all__D_e
iJO1366,glycerol_aerobic,EX_amp_e
iJO1366,glycerol_aerobic,EX_arab__L_e
iJO1366,glycerol_aerobic,EX_arbt_e
iJO1366,glycerol_aerobic,EX_arbtn_e
iJO1366,glycerol_aerobic,EX_arbtn_fe3_e
iJO1366,glycerol_aerobic,EX_ascb__L_e
iJO1366,glycerol_aerobic,EX_aso3_e
iJO1366,glycerol_aerobic,EX_btn_e
iJO1366,glycerol_aerobic,EX_but_e
iJO1366,glycerol_aerobic,EX_butso3_e
iJO1366,glycerol_aerobic,EX_cbi_e
iJO1366,glycerol_aerobic,EX_cd2_e
iJO1366,glycerol_aerobic,EX_chol_e
iJO1366,glycerol_aerobic,EX_chtbs_e
iJO1366,glycerol_aerobic,EX_cm_e
iJO1366,glycerol_aerobic,EX_cmp_e
iJO1366,glycerol_aerobic,EX_cpgn_e
iJO1366,glycerol_aerobic,EX_cpgn_un_e
iJO1366,glycerol_aerobic,EX_crn_e
iJO1366,glycerol_aerobic,EX_crn__D_e
iJO1366,glycerol_aerobic,EX_csn_e
iJO1366,glycerol_aerobic,EX_cu_e
iJO1366,glycerol_aerobic,EX_cyan_e
iJO1366,glycerol_aerobic,EX_cynt_e
iJO1366,glycerol_aerobic,EX_cys__D_e
iJO1366,glycerol_aerobic,EX_dad_2_e
iJO1366,glycerol_aerobic,EX_damp_e
iJO1366,glycerol_aerobic,EX_dca_e
iJO1366,glycerol_aerobic,EX_dcmp_e
iJO1366,glycerol_aerobic,EX_dcyt_e
iJO1366,glycerol_aerobic,EX_ddca_e
iJO1366,glycerol_aerobic,EX_dgmp_e
iJO1366,glycerol_aerobic,EX_dgsn_e
iJO1366,glycerol_aerobic,EX_dimp_e
iJO1366,glycerol_aerobic,EX_din_e
iJO1366,glycerol_aerobic,EX_dms_e
iJO1366,glycerol_aerobic,EX_dmso_e
iJO1366,glycerol_aerobic,EX_dopa_e
iJO1366,glycerol_aerobic,EX_doxrbcn_e
iJO1366,glycerol_aerobic,EX_dtmp_e
iJO1366,glycerol_aerobic,EX_dump_e
iJO1366,glycerol_aerobic,EX_duri_e
iJO1366,glycerol_aerobic,EX_ethso3_e
iJO1366,glycerol_aerobic,EX_f6p_e
iJO1366,glycerol_aerobic,EX_fald_e
iJO1366,glycerol_aerobic,EX_fe3dcit_e
iJO1366,glycerol_aerobic,EX_fe3dhbzs_e
iJO1366,glycerol_aerobic,EX_fe3hox_e
iJO1366,glycerol_aerobic,EX_fe3hox_un_e
iJO1366,glycerol_aerobic,EX_fecrm_e
iJO1366,glycerol_aerobic,EX_fecrm_un_e
iJO1366,glycerol_aerobic,EX_feoxam_e
iJO1366,glycerol_aerobic,EX_feoxam_un_e
iJO1366,glycerol_aerobic,EX_fru_e
iJO1366,glycerol_aerobic,EX_frulys_e
iJO1366,glycerol_aerobic,EX_fruur_e
iJO1366,glycerol_aerobic,EX_fuc__L_e
iJO1366,glycerol_aerobic,EX_fum_e
iJO1366,glycerol_aerobic,EX_fusa_e
iJO1366,glycerol_aerobic,EX_g1p_e
iJO1366,glycerol_aerobic,EX_g3pc_e
iJO1366,glycerol_aerobic,EX_g3pi_e
iJO1366,glycerol_aerobic,EX_g3ps_e
iJO1366,glycerol_aerobic,EX_g6p_e
iJO1366,glycerol_aerobic,EX_gal_e
iJO1366,glycerol_aerobic,EX_gal_bD_e
iJO1366,glycerol_aerobic,EX_gal1p_e
iJO1366,glycerol_aerobic,EX_galct__D_e
iJO1366,glycerol_aerobic,EX_galctn__D_e
iJO1366,glycerol_aerobic,EX_galctn__L_e
iJO1366,glycerol_aerobic,EX_galt_e
iJO1366,glycerol_aerobic,EX_galur_e
iJO1366,glycerol_aerobic,EX_gam_e
iJO1366,glycerol_aerobic,EX_gam6p_e
iJO1366,glycerol_aerobic,EX_gbbtn_e
iJO1366,glycerol_aerobic,EX_gdp_e
iJO1366,glycerol_aerobic,EX_glc__D_e
iJO1366,glycerol_aerobic,EX_glcn_e
iJO1366,glycerol_aerobic,EX_glcr_e
iJO1366,glycerol_aerobic,EX_glcur_e
iJO1366,glycerol_aerobic,EX_glcur1p_e
iJO1366,glycerol_aerobic,EX_gln__L_e
iJO1366,glycerol_aerobic,EX_glyb_e
iJO1366,glycerol_aerobic,EX_glyc2p_e
